Программист; ООО РБУ №2; Не указано; 3–6 лет; удалённо; Не указано; Не указано
Junior Node.js Developer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; Не указано; Не указано; Не указано
Junior Quantitative Developer; ООО ЛОДЖИК ВЭЙ СОЛЮШЕНЗ; Не указано; 1–3 года; удалённо; Не указано; Не указано
Junior/ Middle Game Designer; ООО Селадон девелопмент; Не указано; 1–3 года; Не указано; Не указано; Не указано
Middle / Middle + Java developer; ООО Артокон; Не указано; 3–6 лет; на месте работодателя, удалённо или гибрид; Не указано; Не указано
Junior React Native developer; Innowise Group / Фабрика инноваций и решений; Не указано; не требуется; на месте работодателя; Не указано; Не указано
Junior Business Analyst | 1C Team; Леста Игры; Не указано; 1–3 года; на месте работодателя; Не указано; Не указано
1С разработчик; ООО Плэй хард; Не указано; 3–6 лет; удалённо; Не указано; Вакансия опубликована 20 апреля 2025 в Минске
Junior Playable Ads Developer (Game Developer); ИП Ивашкевич Артемий Юрьевич; от 400 до 500 $ за месяц, на руки; не требуется; на месте работодателя или удалённо; Не указано; Не указано
Junior Business Analyst; Satellite; от 500 до 800 $ за месяц, на руки; не требуется; гибрид; Не указано; Не указано
Программист 1С; ООО Бусел Капитал; до 6 000 Br за месяц, на руки; Не указано; Не указано; Не указано; Не указано
Бизнес-аналитик ( junior); ООО Прогмакс Девелопмент; от 650 до 800 € за месяц, на руки; Не указано; Не указано; Не указано; Не указано
Junior Project manager; Научсофт; Не указано; 1–3 года; удалённо; Не указано; Не указано
Бизнес-аналитик (Junior); ООО Тэксод Технолоджиз; от 1 200 до 1 600 Br за месяц, до вычета налогов; не требуется; на месте работодателя; Не указано; Не указано
Junior Business Analyst (Laboratory 2.0); IDF Technology; Не указано; не требуется; Не указано; Не указано; Не указано
Fullstack разработчик (PHP/Laravel, VUEjs, PostgreSQL); ООО ДН.ру; Не указано; 3–6 лет; удалённо; Не указано; Не указано
Junior 1C Developer; Andersen; Не указано; 1–3 года; на месте работодателя, удалённо или гибрид; XML,1С,1C Enterprise,English - B1; Вакансия опубликована 7 апреля 2025 в Минске
Junior-Middle UI-Дизайнер; ООО АгеманДи; 1 050 Br за месяц, на руки; не требуется; на месте работодателя; Не указано; Не указано
Junior Salesforce Developer; ООО Твистеллар; Не указано; не требуется; на месте работодателя; Не указано; Не указано
Java Developer (Junior); ООО БЛД Софт; Не указано; 1–3 года; на месте работодателя или гибрид; Не указано; Не указано
Junior Android Developer; Andersen; Не указано; 1–3 года; на месте работодателя, удалённо или гибрид; Android,Flutter,REST API,MVVM,MVP,CI/CD,Git,Английский — B2 — Средне-продвинутый; Вакансия опубликована 2 апреля 2025 в Минске
Junior QA Automation Engineer (JavaScript); Andersen; Не указано; не требуется; на месте работодателя, удалённо или гибрид; JavaScript,Mocha.js,CI/CD,AllureOps,TestRail,SQL,English; Вакансия опубликована 14 апреля 2025 в Минске
Junior Java Developer; ИП Медведев Фёдор Яковлевич; Не указано; не требуется; удалённо; Не указано; Не указано
Senior Python Developer; Айфортекс; Не указано; 3–6 лет; гибрид; Не указано; Не указано
Junior Front-end Developer; ООО ПСТ Лабс; Не указано; 1–3 года; на месте работодателя, удалённо или гибрид; Не указано; Не указано
Junior Java Developer (Laboratory 2.0); IDF Technology; Не указано; не требуется; Не указано; Не указано; Не указано
Junior Backend Developer; ООО Пресс Фире Гамес; Не указано; не требуется; Не указано; Не указано; Не указано
Junior DPI Researcher; Белитсофт интернешнл; Не указано; 1–3 года; гибрид; Не указано; Не указано
Junior Frontend Developer; ООО ОксСофт; Не указано; не требуется; на месте работодателя; Не указано; Не указано
HR Junior специалист; ООО Брайт Эйдженси; Не указано; не требуется; Не указано; Не указано; Не указано
Junior C# Developer; ООО Тэксод Технолоджиз; Не указано; не требуется; на месте работодателя; Не указано; Не указано
Junior Python Developer; ООО Арелаг консалт; Не указано; не требуется; удалённо; Не указано; Не указано
Junior ML/DS engineer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; на месте работодателя; Не указано; Не указано
Junior Data Scientist; А1. Информационные технологии, телеком; Не указано; не требуется; на месте работодателя или гибрид; Статистический анализ,Маркетинговый анализ,Математическая статистика,SQL,Методы машинного обучения,Английский язык,Machine Learning,Data Science,Data Analysis,Big Data,R,Python,Английский — B1 — Средний; Вакансия опубликована 22 апреля 2025 в Минске
Программист Python (FastApi, Django); Иксван; Не указано; не требуется; Не указано; Не указано; Не указано
Junior DPI Researcher; Белитсофт интернешнл; Не указано; 1–3 года; гибрид; Не указано; Не указано
Junior ML/DS engineer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; на месте работодателя; Не указано; Не указано
Junior/ Middle Data Engineer; Innowise Group / Фабрика инноваций и решений; Не указано; 1–3 года; Не указано; Не указано; Не указано
Преподаватель программирования (со знанием испанского языка); Rocket Tech School; до 900 $ за месяц, до вычета налогов; Не указано; Не указано; Не указано; Не указано
Senior Marketing Analyst; ООО ВайденГлоуб; Не указано; 3–6 лет; гибрид; Не указано; Не указано
DBA/Database Administrator (Clickhouse, PostgreSQL); Slotegrator; Не указано; более 6 лет; удалённо; Не указано; Не указано
Senior Data Scientist; ООО Смарт АйТи; Не указано; более 6 лет; гибрид; Не указано; Не указано
Middle / Middle + Java developer; ООО Артокон; Не указано; 3–6 лет; на месте работодателя, удалённо или гибрид; Не указано; Не указано
Junior Java-разработчик; ООО ВУШ БЛ; Не указано; 1–3 года; на месте работодателя или гибрид; Не указано; Не указано
Junior Java Developer (Laboratory 2.0); IDF Technology; Не указано; не требуется; Не указано; Не указано; Не указано
Junior Salesforce Developer; ООО Твистеллар; Не указано; не требуется; на месте работодателя; Не указано; Не указано
Junior DPI Researcher; Белитсофт интернешнл; Не указано; 1–3 года; гибрид; Не указано; Не указано
Junior/Middle Test Automation Engineer (Java); ООО ЭлмоСофт; Не указано; 1–3 года; гибрид; Не указано; Не указано
Senior Mobile Developer (Kotlin Multiplatform); IDF Technology; Не указано; 3–6 лет; Не указано; Не указано; Не указано
Intern/Junior Salesforce Developer; ООО Сакцесс; Не указано; не требуется; Не указано; Не указано; Не указано
Senior Game Developer; ООО ГеймТек; Не указано; 3–6 лет; Не указано; Не указано; Не указано
